"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","585","Get /todos/9999","api","Thu Dec 26 13:20:55 GMT 2024","passed","Thu Dec 26 13:20:56 GMT 2024","API tests","api/api.spec.ts","",""
"","599","Get /todos/1","api","Thu Dec 26 13:20:55 GMT 2024","passed","Thu Dec 26 13:20:55 GMT 2024","API tests","api/api.spec.ts","",""
"","699","Get /challenges","api","Thu Dec 26 13:20:53 GMT 2024","passed","Thu Dec 26 13:20:53 GMT 2024","API tests","api/api.spec.ts","",""
"","7418","Login with incorrect email","chromium","Thu Dec 26 13:20:12 GMT 2024","failed","Thu Dec 26 13:20:20 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","7207","Post comment in item","chromium","Thu Dec 26 13:20:45 GMT 2024","failed","Thu Dec 26 13:20:52 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","7538","Change quantity of item","chromium","Thu Dec 26 13:20:20 GMT 2024","passed","Thu Dec 26 13:20:28 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","2810","Change currency","chromium","Thu Dec 26 13:19:53 GMT 2024","passed","Thu Dec 26 13:19:56 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","6888","Change pagination","chromium","Thu Dec 26 13:19:45 GMT 2024","failed","Thu Dec 26 13:19:52 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","610","Get /todo","api","Thu Dec 26 13:20:54 GMT 2024","passed","Thu Dec 26 13:20:55 GMT 2024","API tests","api/api.spec.ts","",""
"","613","Get /todos","api","Thu Dec 26 13:20:53 GMT 2024","passed","Thu Dec 26 13:20:54 GMT 2024","API tests","api/api.spec.ts","",""
